"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"144",2006,64459316,1.49e+08,"Action","Adventure","Animation","Comedy","Family","Sci-Fi"
"145",2015,34964818,1.5e+08,"Adventure","Animation","Comedy","Family",NA,NA
"146",2014,111505642,1.45e+08,"Adventure","Family","Fantasy",NA,NA,NA
"147",2004,133228348,1.75e+08,"Adventure","Animation","Comedy","Family","Sci-Fi",NA
"148",2012,216366733,1.45e+08,"Adventure",NA,NA,NA,NA,NA
"149",2002,160201106,1.42e+08,"Adventure","Animation","Comedy","Family",NA,NA
"150",2016,118099659,1.44e+08,"Action","Adventure","Thriller",NA,NA,NA
"151",1998,201573391,1.4e+08,"Action","Comedy","Fantasy","Sci-Fi",NA,NA
"152",2002,190418803,1.4e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"153",2007,82161969,1.5e+08,"Action","Adventure","Comedy","Family","Fantasy","Mystery"
"154",2016,143523463,1.45e+08,"Action","Adventure","Animation","Fantasy",NA,NA
"155",2011,209364921,1.45e+08,"Action","Adventure","Animation","Comedy","Family",NA
"156",2012,103400692,1.45e+08,"Action","Adventure","Thriller",NA,NA,NA
"157",2005,110332737,1e+08,"Adventure","Animation","Family","Fantasy",NA,NA
"158",2003,111110575,1.4e+08,"Comedy","Crime",NA,NA,NA,NA
"159",2014,65007045,1.4e+08,"Action","Drama","History","War",NA,NA
"160",2009,257704099,1.5e+08,"Action","Adventure","Drama",NA,NA,NA
"161",2002,403706375,1.39e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"162",2014,176997107,1.45e+08,"Action","Adventure","Fantasy","Romance",NA,NA
"163",2016,31141074,1.4e+08,"Action","Adventure","Animation","Comedy","Family","Fantasy"
"164",2005,31704416,1.35e+08,"Action","Adventure","Fantasy",NA,NA,NA
"165",2009,107503316,1.3e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"166",1998,129734803,1.4e+08,"Action","Drama","Mystery","Sci-Fi",NA,NA
"167",2003,132122995,1.37e+08,"Action","Crime","Thriller",NA,NA,NA
"168",2013,122512052,1.3e+08,"Action","Sci-Fi",NA,NA,NA,NA
"169",2005,68642452,1.3e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"170",2001,32131830,1.37e+08,"Action","Adventure","Comedy","Thriller",NA,NA
"171",2011,176636816,1.4e+08,"Action","Adventure","Animation","Fantasy","Romance","Sci-Fi"
"172",1999,126930660,1.35e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"173",2003,93926386,1.5e+08,"Action","Adventure","Thriller",NA,NA,NA
"174",2012,292298923,1.2e+08,"Action","Adventure","Drama","History","War",NA
"175",2011,63992328,1.35e+08,"Adventure","Drama","Fantasy","Romance",NA,NA
"176",2008,134518390,1.5e+08,"Animation","Comedy","Family","Musical",NA,NA
"177",NA,NA,1500000,"Action","Adventure","Sci-Fi",NA,NA,NA
"178",2016,52792307,1.4e+08,"Action","Crime","Drama","Mystery","Thriller",NA
"179",2015,183635922,1.35e+08,"Adventure","Family","Fantasy",NA,NA,NA
"180",2013,83024900,1.35e+08,"Adventure","Drama","Thriller","Western",NA,NA
"181",2011,123207194,1.35e+08,"Adventure","Animation","Comedy","Family","Sport",NA
"182",2014,83348920,1.32e+08,"Adventure","Animation","Comedy","Family","Western",NA
"183",2007,227137090,1.1e+08,"Adventure","Animation","Comedy","Family",NA,NA
"184",2008,215395021,1.3e+08,"Action","Mystery","Thriller",NA,NA,NA
"185",2015,180191634,1.3e+08,"Action","Adventure","Animation","Comedy","Family",NA
"186",2013,424645577,1.3e+08,"Action","Adventure","Comedy","Sci-Fi",NA,NA
"187",2012,292298923,1.2e+08,"Adventure","Sci-Fi","Thriller",NA,NA,NA
"188",2015,177343675,1.35e+08,"Adventure","Drama","Fantasy","Romance",NA,NA
"189",2005,234277056,1.32e+08,"Adventure","Animation","Comedy","Family","Fantasy","Sci-Fi"
"190",2003,138396624,1.3e+08,"Adventure","Sci-Fi","Thriller",NA,NA,NA
"191",2011,149234747,1.3e+08,"Action","Comedy","Crime","Thriller",NA,NA
"192",2010,118311368,1.1e+08,"Action","Adventure","Animation","Comedy","Family","Fantasy"
"193",2014,101160529,1.25e+08,"Action","Crime","Mystery","Thriller",NA,NA
"194",2011,77564037,1.35e+08,"Action","Adventure","Drama",NA,NA,NA
"195",2004,249358727,1.3e+08,"Action","Adventure","Family","Mystery",NA,NA
"196",2008,49551662,1.3e+08,"Adventure","Family","Fantasy","Mystery",NA,NA
"197",2013,60522097,1.3e+08,"Adventure","Drama","Romance","War",NA,NA
"198",2000,137748063,127500000,"Action","Adventure","Sci-Fi",NA,NA,NA
